customer_id,is_abuse_ring,n_purchases_before_max,max_amount,escalation_ratio,time_to_escalation,account_age_at_escalation,device_sharing,address_sharing
0,0,1,1646.4328307257924,1.8464274609549183,0,22,1,1
1,0,3,1497.867598096212,2.317237363007445,17,22,1,1
2,0,3,1795.6299127399104,3.1097615508134275,20,28,3,3
3,0,1,2056.96719311847,2.9061555831209938,0,10,3,3
4,0,4,1708.6967772898624,1.5296105548275718,42,46,3,3
5,0,1,1083.932427690696,1.8814035377901903,0,6,3,3
6,0,2,1664.386426314348,1.6724452877352223,18,42,2,2
7,0,2,1601.0829604907888,1.0708333612131695,7,24,2,2
8,0,3,3635.0038381195545,4.509358872111915,20,36,2,2
9,0,1,1448.8483576269618,1.815482295808391,0,11,2,2
10,0,3,2134.0705823111875,2.402427888091532,27,35,2,2
11,0,2,2949.956277994493,4.064734836865835,6,29,2,2
12,0,3,3171.09698922406,4.366961141508477,8,30,2,2
13,0,1,2707.3915716201827,5.634041194370872,0,14,2,2
14,0,4,2614.162490080354,2.1828436691662114,52,56,2,2
15,0,1,4716.09789154531,5.394385519335961,0,19,3,3
16,0,5,5724.632216046237,8.900043882248854,51,56,3,3
17,0,1,1184.837693916078,1.759111727239694,0,16,3,3
18,0,1,2222.4331960363397,1.391635542494927,0,12,3,3
19,0,2,1624.447888775034,1.2732422188141312,17,39,1,1
20,0,2,2129.663448412361,2.770241728467013,18,29,1,1
21,0,4,1578.132937031309,1.3263394760418312,46,66,3,3
22,0,2,2565.7915265473434,3.242911549601484,11,23,3,3
23,0,3,3328.6532735734518,5.45396685192474,35,41,3,3
24,0,1,1565.5691888157316,3.675354130542556,0,23,3,3
25,0,1,2801.6800218292674,2.7827686650700802,0,13,1,1
26,0,1,2208.153938422349,1.754908359271106,0,24,1,1
27,0,1,4289.075768668529,10.164266331100956,0,15,1,1
28,0,1,1745.91203245255,1.5870912509475221,0,17,1,1
29,0,2,2309.08991190361,2.6203499047028935,20,37,2,2
30,0,1,3166.508738369391,2.524210248486002,0,5,2,2
31,0,2,1658.95840965182,2.1145064451367035,7,26,2,2
32,0,2,2338.5730678610475,3.653644383555337,8,23,3,3
33,0,2,1582.14244649948,1.090285828285905,16,29,3,3
34,0,2,3528.455720333453,4.605759740315256,9,32,3,3
35,0,2,2742.450803155295,3.1342059229822556,24,42,3,3
36,0,1,1147.8701632013913,2.1412002029799155,0,15,3,3
37,0,2,1020.7084724823152,1.6152729861369615,16,24,3,3
38,0,4,2612.054010877442,3.167576954627212,54,71,3,3
39,0,1,1430.4479249007973,1.2797031629915592,0,12,3,3
40,0,2,2377.741413970446,1.2906821525589818,8,24,3,3
41,0,2,1865.5906515700456,2.172180804232649,19,23,3,3
42,0,2,1762.0161292787052,2.0627939569622176,7,16,3,3
43,0,1,3636.0320335797264,6.199866995384679,0,24,3,3
44,0,1,798.5886436163432,1.0,0,11,3,3
45,0,2,1361.1072977578935,3.3954761530746964,8,26,3,3
46,0,3,3738.136450545314,6.630487253479637,34,49,3,3
47,0,1,1796.5610404440883,2.106106812891435,0,4,3,3
48,0,1,1983.1108325393848,2.115644364835428,0,24,3,3
49,0,1,2833.271188639393,3.5416548167712247,0,6,3,3
50,0,2,1902.3244726204664,1.5866103447044673,6,10,3,3
51,0,1,2354.325206032928,3.0764531732929217,0,13,3,3
52,0,1,2005.210137480431,4.604980423889096,0,23,2,2
53,0,1,2133.286683167367,1.917989422272336,0,15,2,2
54,0,5,3105.4326040866763,3.061804013284936,40,52,2,2
55,0,1,1633.525190737986,2.33922975503156,0,17,1,1
56,0,4,2274.7191414316035,4.149407799449023,30,36,1,1
57,0,1,1519.9647267491175,2.8787753675227545,0,3,3,3
58,0,4,1363.4700526966733,1.4832478803631126,53,73,3,3
59,0,4,1584.9237268665297,1.685266696742653,57,79,3,3
60,0,2,2029.4415361325453,2.0298319295489273,19,32,3,3
61,0,3,2151.294009428468,1.6287551855123055,28,52,2,2
62,0,1,2496.072284792099,4.368720264765385,0,23,2,2
63,0,1,2263.5050666143165,2.6008252148832147,0,12,2,2
64,0,4,2194.4847776729293,3.102507932828656,51,59,2,2
65,0,2,1421.7061316944923,2.7183148409710562,3,25,2,2
66,0,2,3052.441370636351,2.272063975251268,4,18,2,2
67,0,1,2065.204060606598,1.0,0,8,2,2
68,0,5,4111.158561464941,13.286617745400752,58,68,2,2
69,0,2,2126.385520615,3.141026648790473,22,42,2,2
70,0,4,2806.342337938512,4.2281806932524395,24,41,1,1
71,0,2,1587.8004749795737,2.197920161096881,8,23,1,1
72,0,2,1644.043818195218,1.035595421801419,9,18,3,3
73,0,1,2425.558767363839,2.9189183072477776,0,18,3,3
74,0,4,2796.173860381512,3.884075728077378,63,76,3,3
75,0,1,2771.170548842229,3.536036145524831,0,10,3,3
76,0,4,1513.0401349943809,2.5049615122851954,38,43,3,3
77,0,4,2472.899129136724,3.994662436232065,21,41,3,3
78,0,4,2817.7645726538067,2.3724371103097286,47,54,3,3
79,0,2,1341.514226987648,1.6419225631025949,14,23,3,3
80,0,3,2550.9525684666296,2.978219982225171,33,37,2,2
81,0,3,2229.4759718121754,2.203976789184748,17,29,2,2
82,0,3,3297.338720851912,5.479281057110539,28,41,2,2
83,0,3,1607.8961607920362,1.791024351056875,31,43,2,2
84,0,1,3569.7195004758337,5.162974500727971,0,13,2,2
85,0,2,1554.261101182192,1.6568597066801958,14,20,2,2
86,0,2,2597.9497095985344,4.796023704364094,11,34,3,3
87,0,1,1928.22875508866,2.5237384981056437,0,7,3,3
88,0,1,1824.562219167619,2.2473260195498392,0,15,3,3
89,0,5,2207.615309034764,2.454992388625802,44,64,3,3
90,0,3,3011.0229622333823,6.153902614341016,21,40,2,2
91,0,2,2044.158626517888,5.4511446909215415,7,17,2,2
92,0,3,3354.684210253517,5.471512533352747,28,41,2,2
93,0,3,3393.942160004198,6.480137872735878,14,29,2,2
94,0,5,1921.636746268205,2.737030867912046,60,67,2,2
95,0,3,2496.93055891158,3.975676284031781,31,37,2,2
96,0,4,2500.832326895271,7.829560382067048,37,58,2,2
97,0,2,1810.441872925166,1.0727441361053929,9,32,2,2
98,0,2,1895.6845754469773,1.809703669374836,6,16,2,2
99,0,1,4083.202170497281,3.3849570528600217,0,22,1,1
100,0,1,1858.137208797522,3.1426342723734795,0,10,1,1
101,0,1,2749.990513943607,2.4160289121232132,0,19,1,1
102,0,3,2195.7448804730657,3.9673075979118333,47,64,1,1
103,0,2,1677.3814080076934,1.5224607982169793,24,29,2,2
104,0,1,1464.648383883895,1.30496712965028,0,20,2,2
105,0,3,3636.427740945684,7.370536033298891,33,43,2,2
106,0,3,2187.9928039252977,3.797768744810189,26,39,3,3
107,0,1,1001.3850046510114,1.0235990318336388,0,6,3,3
108,0,1,1436.4960892780286,1.9187982064407618,0,23,3,3
109,0,3,2240.356894081559,3.459728437918011,37,57,3,3
110,0,1,1240.7695387768003,1.0,0,7,1,1
111,0,2,818.5238508863114,1.973234728565959,19,29,1,1
112,0,2,2520.644507296676,4.5757161606881915,24,37,3,3
113,0,1,1370.9767714830953,1.0,0,4,3,3
114,0,1,2295.995225319441,4.143462684706399,0,14,3,3
115,0,2,2403.7110036646,2.3119016746322805,8,32,3,3
116,0,7,1607.222027623601,2.690663895027421,89,103,3,3
117,0,3,2072.536088833228,2.1303366001808595,43,46,3,3
118,0,3,1507.809264881091,3.512335708744872,19,39,3,3
119,0,3,2353.5435871765794,3.4310577188494897,12,18,3,3
120,0,3,1725.5335346540876,1.8976523278097948,28,45,1,1
121,0,1,1834.2631868577669,2.465755632457274,0,7,1,1
122,0,4,2782.7018737660137,4.073810923210934,44,51,2,2
123,0,1,2225.5461123604728,4.194770103615725,0,23,2,2
124,0,2,2165.414666131575,1.6171230935769607,22,30,2,2
125,0,2,2920.202154618034,3.811687196810478,23,47,1,1
126,0,2,1864.3898025937751,1.369357268011688,6,11,1,1
127,0,1,1630.5757220114058,1.0,0,3,3,3
128,0,2,1880.4417012470851,1.2479185961551702,15,27,3,3
129,0,1,2731.659207110718,4.451610464443884,0,17,3,3
130,0,2,1069.5730285362938,1.7341623739577108,7,29,3,3
131,0,1,1825.3965119371023,1.2660367401913855,0,23,3,3
132,0,2,1142.937106531179,3.9164002175653394,17,32,3,3
133,0,1,1931.8123927999072,2.8327938871898315,0,21,3,3
134,0,2,3642.704032067568,4.284624834880841,17,34,3,3
135,0,7,1968.3057897801605,2.1214977502842793,79,88,2,2
136,0,1,1710.1464040471178,1.0,0,12,2,2
137,0,3,1503.9198654180448,2.2165500174636,35,51,2,2
138,0,1,1664.0420836644028,2.5077869864474556,0,11,1,1
139,0,3,1791.7090496266555,1.9855945616856023,32,35,1,1
140,0,4,2124.5597031959646,2.606918310923929,28,46,1,1
141,0,3,5589.914168561162,10.317338939600864,22,40,1,1
142,0,2,1317.9482373440214,2.6450923293718986,12,30,0,0
143,0,2,1641.9370417635184,1.1933394833452418,10,13,0,0
144,0,4,2897.913945534725,3.2349379376599923,49,68,0,0
145,0,1,1716.7212784455123,1.2421234386282651,0,24,0,0
146,0,4,4310.988726055443,4.798605870267199,35,48,0,0
147,0,2,1631.2776558760158,1.9512277346848614,8,17,0,0
148,0,4,2567.2207546902578,3.07269779618491,47,55,0,0
149,0,4,3868.304983491451,4.767202115442185,54,59,0,0
150,0,1,1762.5051154028797,2.0959945809052956,0,23,0,0
151,0,4,1817.8730779755097,1.704889938177133,37,55,0,0
152,0,2,1275.333785313661,2.001194430102551,18,36,0,0
153,0,2,1538.625501861036,1.9688023821399314,6,22,0,0
154,0,4,2399.0690492569,3.950805779841047,64,71,0,0
155,0,2,1764.2169039786995,1.4660909802314992,14,34,0,0
156,0,1,1836.5376482705483,1.2868583712540407,0,23,0,0
157,0,3,1898.357193155288,3.12337395973449,15,22,0,0
158,0,1,2129.9870945227376,2.313755745035167,0,3,0,0
159,0,3,2655.510824077269,1.9693517143745862,36,58,0,0
160,0,1,2512.1380327830066,6.175462799007934,0,8,0,0
